attack,group,parameter_name,parameter_symbol,parameter_value,psnr_watermarked_vs_attacked,accuracy,ber,predicted_ones,threshold,blocks_used,available_blocks,start_x,start_y,phase_sign
smooth,filtering,window_size,M,11,25.18643922724754,0.5,0.5,98,0.0,49,49,5,8,-1
smooth,filtering,window_size,M,13,24.4105766721346,0.5408163265306123,0.4591836734693877,98,0.0,49,49,5,8,-1
smooth,filtering,window_size,M,15,23.762236312202504,0.4897959183673469,0.5102040816326531,98,-4.336808689942018e-18,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,1,33.08740073375722,0.7653061224489796,0.23469387755102045,98,0.0,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,1.5,30.13691743420463,0.6530612244897959,0.34693877551020413,98,0.0,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,2,28.33730377248969,0.5816326530612245,0.41836734693877553,98,0.0,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,2.5,27.118994194811545,0.5102040816326531,0.4897959183673469,98,0.0,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,3,26.176236218842917,0.5510204081632653,0.44897959183673475,98,-6.505213034913027e-19,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,3.5,25.43747188202142,0.5306122448979592,0.4693877551020408,98,0.0,49,49,5,8,-1
gauss_blur,filtering,sigma,σ,4,24.80522110952277,0.45918367346938777,0.5408163265306123,98,3.469446951953614e-18,49,49,5,8,-1
sharpen,filtering,window_size,M,3,20.78513203094306,0.9489795918367347,0.05102040816326525,98,3.469446951953614e-17,49,49,5,8,-1
sharpen,filtering,window_size,M,5,18.234738909051387,0.9693877551020408,0.030612244897959218,98,0.0,49,49,5,8,-1
sharpen,filtering,window_size,M,7,17.084349162073423,0.9693877551020408,0.030612244897959218,98,0.0,49,49,5,8,-1
sharpen,filtering,window_size,M,9,16.341442998319337,0.9795918367346939,0.020408163265306145,98,-6.331740687315346e-17,49,49,5,8,-1
sharpen,filtering,window_size,M,11,15.789802828952118,0.9591836734693877,0.04081632653061229,98,0.0,49,49,5,8,-1
sharpen,filtering,window_size,M,13,15.352271868309408,0.9693877551020408,0.030612244897959218,98,-6.591949208711867e-17,49,49,5,8,-1
sharpen,filtering,window_size,M,15,14.992602987484238,0.9693877551020408,0.030612244897959218,98,6.591949208711867e-17,49,49,5,8,-1
median,filtering,window_size,M,3,35.44135377530206,0.7551020408163265,0.24489795918367352,98,-6.158268339717665e-17,49,49,5,8,-1
median,filtering,window_size,M,5,31.30196232418833,0.37755102040816324,0.6224489795918368,98,0.0,49,49,5,8,-1
median,filtering,window_size,M,7,29.146040236025662,0.5204081632653061,0.47959183673469385,98,-1.0028870095490916e-17,49,49,5,8,-1
median,filtering,window_size,M,9,27.831165057352408,0.5204081632653061,0.47959183673469385,98,1.3010426069826053e-18,49,49,5,8,-1
median,filtering,window_size,M,11,26.867028822741016,0.5,0.5,98,-1.214306433183765e-17,49,49,5,8,-1
median,filtering,window_size,M,13,26.075893251191783,0.5306122448979592,0.4693877551020408,98,0.0,49,49,5,8,-1
median,filtering,window_size,M,15,25.373359310425055,0.5306122448979592,0.4693877551020408,98,0.0,49,49,5,8,-1
wh_noise,noise,variance,Dξ,400,22.143465779430596,0.8061224489795918,0.19387755102040816,98,7.45931094670027e-17,49,49,5,8,-1
